idx,scholarship_name,foundation,scholarship_type,recruit,benefit,target,period,memo
5076,유니버셜 디자인 지원사업 (2022년),경기콘텐츠진흥원,기타장학,인원 미정,기타혜택 : 최대 1000만원,기타/일반,2022. 03. 28. (월) ~ 2022. 04. 29. (금),경기콘텐츠진흥원에서 도내 유니버셜 디자인 문화 확산 및 사회적 확경 조성을 위한 사업을 진행합니다.
5077,영동군 교육특별장학금 (2022년),영동군,"장학금, 기타장학",인원 미정,장학금지급 : 최대 10만원,"초등학생, 중학생, 고등학생",2022. 04. 18. (월) ~ 2022. 07. 29. (금),영동군에서 코로나19 장기화에 따른 교육비 지원으로 생활 안정 및 지역경제 활성하에 기여하고자 지원하는 사업입니다
5078,옥천군장학회 장학 (2022년 상반기),옥천군장학회,장학금,총 99명 선발,장학금지급 : 최대 200만원,"초등학생, 중학생, 고등학생, 대학생, 전문대생","(1차) 2022. 04. 25. (월) ~ 2022. 04. 29. (금)
(2차) 2022. 04. 25. (월) ~ 2022. 05. 20. (금)",옥천군장학회에서 옥천군 출신 지역의 우수한 인재를 선발하여 장학금을 지원하는 사업입니다.
5079,안산시 생활안정지원금 (영업제한 소상공인),안산시,기타장학,인원 미정,기타혜택 : 최대 70만원,기타/일반,"(1차) 2022. 04. 15. (금) ~ 2022. 04. 29. (금)
(2차) 2022. 04. 15. (금) ~ 2022. 04. 30. (토)",안산시에서 코로나19 장기화로 어려움을 겪고 있는 행정명령 이행 업종 소상공인 등의 경제 회복을 지원하는 사업입니다.
5080,석성장학회 선행장학 (2022년),석성장학회,장학금,인원 미정,장학금지급 : 최대 100만원,"초등학생, 중학생, 고등학생, 대학생, 전문대생","(1차) 2022. 02. 01. (화) ~ 2022. 04. 30. (토)
(2차) 2022. 05. 01. (일) ~ 2022. 10. 31. (월)
(3차) 2022. 02. 01. (일) ~ 2022. 10. 31. (월)",석성장학회에서 학업에 충실하고 선행으로 타의 모범이 되는 학생을 선발해 격려함으로써 자긍심을 고취시키고 선행에 대한 동기를 함양하도록 하기 위한 장학금입니다.
5081,청년도전 지원사업,고용노동부,기타장학,인원 미정,기타혜택 : 최대 20만원,"청년, 기타/일반",2022. 04. 19. (화) ~ 2022. 12. 31. (토),고용노동부에서 미취업 청년들에게 자신감을 회복하고 사회활동 참여 의욕과 취업의지를 북돋기 위해 맞춤형 프로그램을 제공하는 사업입니다.
5082,경기도 청소년 종합심리검사 지원사업,경기도청소년상담복지센터,기타장학,인원 미정,기타혜택 : 최대 60만원,"초등학생, 중학생, 고등학생, 대학생",2022. 03. 01. (화) ~ 2022. 12. 31. (토),경기도청소년상담복지센터에서 인터넷·스마트폰 과의존 및 심리적인 어려움이 있는 경기도에 거주 중인 청소년을 대상으로 맞춤형 서비스를 지원하는 사업입니다.
5083,미래에셋 해외 교환장학 (2022년),미래에셋박현주재단,연수/연구장학,총 200명 선발,연수/연구지원 : 최대 700만원,대학생,2022. 04. 25. (월) ~ 2022. 05. 02. (월),"미래에셋박현주재단에서 대한민국 대학생들이 넓은 세계에서 다양한 학문적, 문화적 경험을 할 수 있도록 지원하는 장학금입니다."
5084,경기도 청년 노동자 통장,경기도,기타장학,총 5000명 선발,기타혜택 : 최대 -만원,"청년, 기타/일반",2022. 04. 19. (화) ~ 2022. 05. 02. (월),"경기도에서 경기도 저소득 청년 노동자의 노동의지, 취업의지를 고취시키고 금융역량을 강화하여 미래에 대한 대응력을 증진하기 위해 실시하는 사업입니다."
5085,화성시 대학생 장학금,화성시인재육성재단,장학금,인원 미정,장학금지급 : 최대 -만원,"대학생, 전문대생",2022. 04. 11. (월) ~ 2022. 05. 02. (월),화성시인재육성재단에서 화성시 출신 대학생에게 최대 등록금 전액을 지원하는 장학금입니다.
5086,한국아동복지학회 신진연구자 장학,한국아동복지학회,장학금,총 2명 선발,장학금지급 : 최대 400만원,대학원생,2022. 04. 11. (월) ~ 2022. 05. 02. (월),한국아동복지학회에서 아동복지 분야 박사과정생에게 장학금을 지급해 연구를 지원하고 신진 아동복지 연구인력을 양성하고자 실시하는 사업입니다.
5087,소셜벤처 재도전 프로그램,열매나눔재단,기타장학,인원 미정,기타혜택 : 최대 2700만원,기타/일반,2022. 04. 08. (금) ~ 2022. 05. 02. (월),열매나눔재단에서 사회혁신을 위해 포기하지 않고 도전하는 진정성 있는 사회혁신가를 발굴하고 육성하기 위한 사업입니다.
5088,IBK기업은행 혁신창업기업 지원사업,IBK 기업은행,기타장학,총 -명 선발,기타혜택 : 최대 -만원,기타/일반,2022. 03. 29. (화) ~ 2022. 05. 03. (화),IBK기업은행에서 창업기업들의 성공적인 사업모델 및 양질의 일자리를 창출하기 위해 지원하는 사업입니다.
5089,KF 일본지역 대학원 장학 (2022년),한국국제교류재단,장학금,총 45명 선발,장학금지급 : 최대 -만원,대학원생,2022. 04. 04. (월) ~ 2022. 05. 03. (화),한국국제교류재단에서 한국 전문가 육성 사업의 일환으로 일본 지역에 위치한 대학교에서 한국학을 전공하는 외국인 대학원생에게 지급하는 장학금입니다.
5090,온드림 미래산업 인재 학부/대학원 장학금 (2022년),현대차 정몽구 재단,장학금,인원 미정,"장학금지급 : 최대 -만원
기타혜택 : 최대 -만원","대학생, 대학원생",2022. 04. 12. (화) ~ 2022. 05. 03. (화),"현대차정몽구재단에서 미래산업 분야를 연구하고자 하는 대학(원)생을 선발, 지원해 4차 산업혁명 시대를 이끌어 나갈 미래 인재를 육성하는 사업입니다."
