id,contest_name,company_type,institution,target,rewards,app_period,contest_benefit,fields
100577,2022년 온라인 콘텐츠 활용 교과서 우수 수업사례 공모전 (~9/30),-,공모전사무국,-,-,-,-,
100630,2022년 함안관광 아이디어 대학생 공모전,공공기관/공기업,함안군청,대학생,1000만 원,22.6.2 ~ 22.9.30,상장 수여,기획/아이디어
100641,보육정보 제공 콘텐츠 공모전,공공기관/공기업,스펙토리,대상 제한 없음,660만 원,22.8.22 ~ 22.10.12,기타,사진/영상/UCC
100646,제12회 장애 관련 번역 도서 추천 공모,비영리단체/협회/재단,한국장애인재단,대상 제한 없음,30만 원,22.8.22 ~ 22.9.16,"실제상용화, 기타","해외, 학술"
100650,2022 전북 e스포츠 챌린저 대회,비영리단체/협회/재단,(재)전라북도콘텐츠융합진흥원,"대학생, 직장인/일반인",400만 원,22.8.16 ~ 22.9.8,기타,캐릭터/만화/게임
100651,제1회 전통문양 산업화 아이디어 공모전,공공기관/공기업,한국문화정보원,대학생,1000만 원,22.8.22 ~ 22.10.14,기타,"기획/아이디어, 디자인/순수미술/공예"
100654,2022년 언론중재위원회 숏폼 영상 공모전,비영리단체/협회/재단,언론중재위원회,대상 제한 없음,230만 원,22.9.1 ~ 22.10.23,상장 수여,사진/영상/UCC
100655,(기간연장) 한-베트남 수교 30주년 기념 학술 논문 공모전(~9/13),공공기관/공기업,공모전 운영사무국,대학생,1200만 원,22.6.15 ~ 22.9.13,기타,학술
100658,"[추천공모전]순환경제 신사업 공모전 (이제는, Circular Business)(8/29~9/23)",기타,산업통산자원부,대상 제한 없음,1억 7050만 원,22.8.29 ~ 22.9.23,기타,기획/아이디어
100660,제2회 올바른 112신고 공모전,공공기관/공기업,스펙토리,대상 제한 없음,1360만 원,22.8.22 ~ 22.10.10,기타,사진/영상/UCC
100661,2022 서울영상고 SVM 전국 중학생 작품 공모전,기타,서울영상고등학교,청소년,240만 원,22.8.22 ~ 모집시 마감,기타,"사진/영상/UCC, 디자인/순수미술/공예"
100663,제4회 일상 속 작은 행복 아이디어 공모전,공공기관/공기업,인천광역시청,대상 제한 없음,700만 원,22.8.22 ~ 22.9.16,상장 수여,기획/아이디어
100668,울산남구여행 SNS 사진영상공모전,공공기관/공기업,울산광역시 남구청,대상 제한 없음,530만 원,22.8.16 ~ 22.10.17,기타,사진/영상/UCC
100672,2022 산학 프로젝트 챌린지,공공기관/공기업,산업통상자원부 / 한국산업기술진흥원,대상 제한 없음,5000만 원,22.7.19 ~ 22.8.18,기타,창업
100673,[물류산업진흥재단] 2022 물류 스타트업 경진대회,공공기관/공기업,"물류산업진흥재단, 현대글로비스",대상 제한 없음,1000만 원,22.8.7 ~ 22.9.2,"입사시 가산점, 상장 수여","학술, 창업"
100681,수원 당수지구 시민참여형 공원 만들기 아이디어 공모전,비영리단체/협회/재단,수원도시재단,대상 제한 없음,1380만 원,22.8.10 ~ 22.10.4,기타,기획/아이디어
100683,2022년 하반기 속초시시설관리공단혁신 아이디어 공모전,공공기관/공기업,속초시시설관리공단,대상 제한 없음,-,22.8.16 ~ 22.10.17,기타,기획/아이디어
100684,2022 종로구 너도나도 생명존중 공모전,공공기관/공기업,"종로구보건소, 종로구정신건강복지센터 / 종로구보건소, 종로구정신건강복지센터",청소년,-,22.8.22 ~ 22.9.23,기타,디자인/순수미술/공예
100685,2022 블러썸 청소년음악제,기타,"SK브로드밴드, EBS미디어, LOVE FNC, 한국청소년정책연구원",청소년,1100만 원,22.8.30 ~ 22.10.10,기타,예체능/패션
100686,점보필름 미니시리즈 극본 공모전,중소기업,점보필름(주),"대학생, 직장인/일반인",6000만 원,23.1.2 ~ 23.1.31,기타,문학/시나리오
100688,인천지식재산센터 2022년 인천 발명아이디어 콘테스트,공공기관/공기업,"인천광역시, 특허청, 한국발명진흥회 / 인천지식재산센터",대상 제한 없음,480만 원,22.8.22 ~ 22.9.22,기타,기획/아이디어
100703,가회민화박물관 제19회 세계어린이 민화그리기 공모전,기타,가회민화박물관,청소년,-,22.9.27 ~ 22.10.18,기타,디자인/순수미술/공예
100709,제 3회 영공방 디오라마 공모전,중소기업,(주)영공방,대상 제한 없음,240만 원,22.10.10 ~ 22.10.14,기타,디자인/순수미술/공예
100710,2022년 디지털 윤리 창작 콘텐츠 공모전,기타,방송통신위원회,대상 제한 없음,-,22.7.1 ~ 22.9.30,기타,디자인/순수미술/공예
100712,부산진구 버스킹 페스티벌 출연진 모집,기타,부산진구,"대학생, 직장인/일반인",-,22.8.10 ~ 22.8.31,기타,"예체능/패션, 전시/페스티벌"
100713,2022년 아트챌린저 공모 세계미술작가교류협회 선정작가,비영리단체/협회/재단,"세계미술작가교류협회, 세미갤러리 (사)세계문화교류협회",대상 제한 없음,-,22.8.2 ~ 22.9.23,기타,디자인/순수미술/공예
100715,2022 산림복지 창작동요 공모전,기타,산림복지진흥원,대상 제한 없음,600만 원,22.6.20 ~ 22.8.26,기타,디자인/순수미술/공예
100719,2022 관악강감찬축제 '전승기념 퍼레이드' 참가팀 모집 (기간연장),비영리단체/협회/재단,관악문화재단,대상 제한 없음,1600만 원,22.7.8 ~ 22.8.28,기타,전시/페스티벌
100720,중랑문화재단 2022 시민공모사업 모두랑실험실 공고,비영리단체/협회/재단,중랑문화재단 / 서울시자치구문화재단연합회,"대학생, 직장인/일반인",1000만 원,22.7.11 ~ 22.8.22,기타,기타
100722,2022 우수중소물류기업인 포상 공모,비영리단체/협회/재단,물류산업진흥재단,대상 제한 없음,1500만 원,22.7.25 ~ 22.8.26,기타,기타
100723,2022 다양성洞 평화영화제 상영작 공모전,비영리단체/협회/재단,성동문화재단,대상 제한 없음,300만 원,22.8.1 ~ 22.9.4,기타,사진/영상/UCC
100724,안전한 대한민국! 사이버안보·산업보안 아이디어 공모전,기타,세종사이버대학교 정보보호학과,대상 제한 없음,110만 원,22.8.18 ~ 22.10.30,기타,"기획/아이디어, 과학/공학"
100725,2022 서울특별시 디지털 공간정보 활용 공모전,공공기관/공기업,서울특별시,대상 제한 없음,-,22.9.5 ~ 22.9.16,기타,과학/공학
100743,2022 전국민참여 ICT 표준 챌린지,비영리단체/협회/재단,한국정보통신기술협회,대상 제한 없음,1410만 원,22.8.23 ~ 22.10.14,상장 수여,"사진/영상/UCC, 과학/공학"
100756,NS Cookfest 2022 in IKSAN,대기업,NS홈쇼핑,대상 제한 없음,1억 1500만 원,22.9.1 ~ 22.9.19,기타,"기획/아이디어, 예체능/패션"
100764,제7회 커피 29초영화제,중견기업,한국경제신문 29초영화제팀,대상 제한 없음,2000만 원,22.8.23 ~ 22.9.23,"기타, 상장 수여",사진/영상/UCC
100773,제 3회 대한민국 신직업·미래직업 아이디어 공모전 (~9/30),기타,공모전사무국,대상 제한 없음,-,22.8.23 ~ 22.9.30,기타,기타
100794,2023 점보필름 미니시리즈 공모전,중소기업,점보필름,"대학생, 직장인/일반인",6000만 원,23.1.2 ~ 23.1.31,실제상용화,문학/시나리오
100797,2022 메타버스 콘텐츠 리크루팅 캠프 참가자 모집 (연장~8월 25일 목 오후 5시까지),기타,주식회사 더 웰컴,대상 제한 없음,-,22.8.1 ~ 22.8.25,"기타, 상장 수여","과학/공학, 창업"
100799,'2022 도봉구 성평등 영화제' 후기 공모전(~9.15.(목)),공공기관/공기업,도봉구성평등활동센터,대상 제한 없음,150만 원,22.9.1 ~ 22.9.15,"기타, 상장 수여","사진/영상/UCC, 문학/시나리오"
100815,"총 1,080만 원 장학금, 2022년 전국 대학생 영어 페스티벌",중소기업,한국지텔프,대학생,1080만 원,22.8.26 ~ 22.10.28,기타,"학술, 기타"
100816,제6회 생명의 강 낙동강 사진 공모전,비영리단체/협회/재단,낙동강유역환경청,"대학생, 직장인/일반인",600만 원,22.8.22 ~ 23.5.2,"입사시 가산점, 상장 수여","사진/영상/UCC, 기획/아이디어"
100851,2022년 주택관리공단 대국민 ESG 혁신 아이디어 공모,공공기관/공기업,주택관리공단,대상 제한 없음,140만 원,22.8.9 ~ 22.9.9,기타,기획/아이디어
100853,[부산] 못골골목시장 숏필름 메이킹 팀프로젝트 '못골청춘원정대',기타,못골골목시장 문화관광형시장 육성사업단,대학생,100만 원,22.8.22 ~ 22.9.4,상장 수여,"기획/아이디어, 사진/영상/UCC"
100855,2022년 제 24회 대구청소년자원봉사대회,비영리단체/협회/재단,대구청소년지원재단 활동진흥센터,"청소년, 대학생",-,22.8.22 ~ 22.9.18,"기타, 상장 수여",기획/아이디어
100862,"★경남일포유 APP 다운로드 이벤트★ 앱 다운 받고, 일자리 정보도 얻고, 선물도 받자!",비영리단체/협회/재단,경남경영자총협회,대상 제한 없음,1만 원,22.8.22 ~ 22.9.2,기타,"창업, 기타"
100863,K-농부 공모전,중소기업,디앤씨컴퍼니,대상 제한 없음,1210만 원,22.8.24 ~ 22.9.14,실제상용화,"창업, 기타"
100870,2022 강남페스티벌 마루공원 그린콘서트 시민가요제 공모,공공기관/공기업,강남구,대상 제한 없음,-,22.8.22 ~ 22.9.16,"실제상용화, 기타","전시/페스티벌, 예체능/패션"
100873,2022 대한민국 청년 평화플러스 오픈랩 프로젝트,공공기관/공기업,"주최: 대한민국시도지사협의회, 인천시, 강원도 / 주관: (주)공감만세, (재)피스윈즈코리","대학생, 직장인/일반인",3000만 원,22.8.7 ~ 22.9.4,입사시 가산점,"창업, 기획/아이디어"
100875,2030 과학상상화 그림 공모전,기타,국립부산과학관,청소년,200만 원,22.8.10 ~ 22.9.20,기타,"디자인/순수미술/공예, 과학/공학"
100876,충청북도 청소년 플랫폼 명칭 공모전,비영리단체/협회/재단,충청북도청소년종합진흥원 청소년활동진흥센터,대상 제한 없음,-,22.8.22 ~ 22.9.8,기타,네이밍/슬로건
100878,2022년 경기도 자치분권 영상 공모전,공공기관/공기업,경기도 / 희망둥지,대상 제한 없음,550만 원,22.8.17 ~ 22.10.14,기타,사진/영상/UCC
100879,2022 AWS 게임 창작 공모전 MEGA JAM,중소기업,메가존클라우드,"청소년, 대학생",1000만 원,22.8.8 ~ 22.9.12,기타,캐릭터/만화/게임
100881,제3회 인권문화제 콘텐츠 공모전,기타,창원장애인인권센터,대상 제한 없음,900만 원,22.10.4 ~ 22.10.23,기타,디자인/순수미술/공예
100882,경상북도 순직공무원 추모비 디자인 공모전,공공기관/공기업,"경상북도, 경북소방본부",대상 제한 없음,1000만 원,22.8.22 ~ 22.9.23,기타,디자인/순수미술/공예
