id,activity_name,company_type,institution,target,app_period,activity_period,recruit,prefer,activity_benefit,interests,fields,,,,,,,,,,,
100311,[코웨이/한국생산성본부] 스마트홈 리더스 클래스 1기 모집 (연장),공공기관/공기업,한국생산성본부/코웨이,직장인/일반인,22.7.15 ~ 22.8.31,22.8.4 ~ 22.11.30,80명,"멘토링/수업 진행 경험, 기타","활동비, 전문가/임직원 멘토링","교육, 경제/금융","강연, 멘토링",,,,,,,,,,,
100312,유니브팅 서포터즈,-,유니브팅,-,-,-,0명,모두 지원 가능,-,,,,,,,,,,,,,
100342,2022년 오더플러스 디자인 서포터즈 모집,중소기업,오더플러스,대상 제한 없음,22.8.17 ~ 22.8.28,22.9.1 ~ 22.11.30,2명,기타,"활동비, 수료증 및 인증서","디자인/사진/예술/영상, 요리/식품",서포터즈,,,,,,,,,,,
100343,[기업멤버십SW캠프] 빅데이터 활용 서비스 개발자 부트캠프,공공기관/공기업,글로벌소프트웨어캠퍼스,직장인/일반인,22.7.19 ~ 22.9.30,22.9.19 ~ 23.4.27,24명,"멘토링/수업 진행 경험, 기타","활동비, 인턴쉽 기회","교육, 과학/공학/기술/IT","강연, 멘토링",,,,,,,,,,,
100344,제2회 남구청년예술제(대구) 서포터즈 모집,공공기관/공기업,대구광역시 남구,대상 제한 없음,22.8.18 ~ 22.9.5,22.9.16 ~ 22.9.18,00명,기타,"수료증 및 인증서, 봉사활동시간","행사/페스티벌, 디자인/사진/예술/영상",서포터즈,,,,,,,,,,,
100352,셀몽드 공식 서포터즈 5기 모집,중소기업,주식회사 아이린앤코,"대학생, 직장인/일반인",22.8.18 ~ 22.8.31,22.9.1 ~ 22.12.31,0명,기타,"사은품 지급, 수료증 및 인증서",뷰티/미용/화장품,서포터즈,,,,,,,,,,,
100353,인애종합사회복지관 인애청년기획단 띵동 4기 모집,공공기관/공기업,인애종합사회복지관,"대학생, 직장인/일반인",22.8.18 ~ 22.8.31,22.8.1 ~ 22.12.31,0명,기타,"수료증 및 인증서, 봉사활동시간","정치/사회/법률, 사회공헌/교류",서포터즈,,,,,,,,,,,
100357,해피스마일 iOS 개발자 부트캠프,공공기관/공기업,해피스마일,대상 제한 없음,22.8.17 ~ 22.9.1,22.9.3 ~ 22.10.30,10명,멘토링/수업 진행 경험,"실무 교육, 전문가/임직원 멘토링","교육, 과학/공학/기술/IT","강연, 멘토링",,,,,,,,,,,
100359,올리 SNS 서포터즈 2기 모집,스타트업,루플,"대학생, 직장인/일반인",22.8.19 ~ 22.8.28,22.8.19 ~ 22.8.28,10명,"파워블로거/SNS, 사진/영상/디자인 툴, 콘텐츠 기획/제작 경험, 타 대외활동 경험","사은품 지급, 수료증 및 인증서",콘텐츠,서포터즈,,,,,,,,,,,
100365,대덕SW마이스터고 제4회 중학생 알고리즘 경진대회,기타,전자신문 교육법인 이티에듀,청소년,22.8.3 ~ 22.8.28,-,00명,기타,"사은품 지급, 수료증 및 인증서",과학/공학/기술/IT,기타,,,,,,,,,,,
100369,[3학점] 4주 동안 직접 광고 관리해보자! 퍼포먼스 마케팅 기초부터 실전까지!_3기,스타트업,슥삭,대학생,22.8.18 ~ 22.8.27,22.9.6 ~ 22.9.27,10명,휴학 중/시간 투자 가능,"실무 교육, 전문가/임직원 멘토링","경영/컨설팅/마케팅, 콘텐츠","마케터, 강연",,,,,,,,,,,
100374,[3학점] 콘텐츠 기획부터 제작까지! 8주완성 콘마기초반_1기,스타트업,슥삭,대학생,22.8.18 ~ 22.8.27,22.8.29 ~ 22.10.31,10명,휴학 중/시간 투자 가능,"실무 교육, 전문가/임직원 멘토링","교육, 콘텐츠","마케터, 강연",,,,,,,,,,,
100386,UC 버클리(UCB) & 런던예술대학(UAL) & 호주 퀸즐랜드대학(UQ) & 2023 봄학기 SAF 방문학생 Info Session 사전등록 중! | SAF Korea,비영리단체/협회/재단,SAF Korea,대학생,22.8.19 ~ 22.8.24,22.8.24 ~ 22.8.24,00명,외국어,행사 참여,"교육, 사회공헌/교류","해외탐방-유료, 기타",,,,,,,,,,,
100398,2022년도 하반기 서울동행 대학(원)생 멘토 봉사자 모집,공공기관/공기업,서울시자원봉사센터,대학생,22.8.19 ~ 22.9.30,22.9.30 ~ 23.2.27,00명,기타,봉사활동시간,"교육, 사회공헌/교류",봉사단-국내,,,,,,,,,,,
100410,충북신용보증재단 2022년도 「홍보 서포터즈」모집,공공기관/공기업,충북신용보증재단,대학생,22.8.22 ~ 22.9.5,22.9.14 ~ 22.11.30,5명,"파워블로거/SNS, 사진/영상/디자인 툴, 콘텐츠 기획/제작 경험","활동비, 수료증 및 인증서","경영/컨설팅/마케팅, 콘텐츠","서포터즈, 마케터",,,,,,,,,,,
100421,2022년 『경남관광 인플루언서 양성교육(하반기)』참여자 모집 (~09.13 18:00까지),공공기관/공기업,경남관광기업지원센터,대상 제한 없음,22.8.16 ~ 22.9.13,22.9.17 ~ 22.10.2,75명,"파워블로거/SNS, 사진/영상/디자인 툴, 기타","전문가/임직원 멘토링, 수료증 및 인증서","여행/호텔/항공, 콘텐츠","마케터, 강연",,,,,,,,,,,
100436,✨도전! 전문가와 함께하는 면접 완전 정복 프로그램 안내✨,중소기업,더와이랩,대상 제한 없음,22.8.19 ~ 22.8.22,22.8.22 ~ 22.8.22,00명,휴학 중/시간 투자 가능,수료증 및 인증서,"교육, 경영/컨설팅/마케팅","강연, 멘토링",,,,,,,,,,,
100438,"[ERT 공동챌린지 1탄] 지역 살리고, 환경 살리고 ""지방으로 휴가를 떠나 환경보호 활동을 실천해주세요~!""",비영리단체/협회/재단,"파이브세컨즈, 신기업가정신협의회 ERT",대상 제한 없음,22.7.22 ~ 22.9.30,22.7.22 ~ 22.9.30,0명,기타,"사은품 지급, 행사 참여","디자인/사진/예술/영상, 환경/에너지",기타,,,,,,,,,,,
100440,[스타벅스 창업카페 시즌9] 인사이트 프로그램 - '딥서치 ' 대표 강연,대기업,"스타벅스, 서울창조경제혁신센터",대상 제한 없음,22.8.19 ~ 22.9.27,22.8.30 ~ 22.8.30,00명,기타,"사은품 지급, 행사 참여",창업/자기계발,강연,,,,,,,,,,,
100447,2022 부·울·경 출향청년 유턴프로젝트 - 8/30 부·울·경 일자리 박람회 참가자 모집,중소기업,(주)커리어넷,"대학생, 직장인/일반인",22.8.10 ~ 22.8.26,22.8.30 ~ 22.8.30,120명,기타,"사은품 지급, 수료증 및 인증서","행사/페스티벌, 창업/자기계발","강연, 멘토링",,,,,,,,,,,
