인덱스,공모전명,기업명,기업형태,시상규모,공모분야,참여대상,접수기간,활동혜택
80424,제2회 해외에서 겪은 사건사고 경험담 공모전,대한민국 외교부,공공기관/공기업,1050만 원,사진/영상/UCC,대상 제한 없음,22.3.2 ~ 22.4.29,기타
80425,[데이콘 베이직11] 손동작 분류 경진대회(~03월 18일),데이콘,기타,-,광고/마케팅,대상 제한 없음,22.3.3 ~ 22.3.18,기타
80440,살찌는 건 싫지만 빵은 먹고 싶어! <빵빵런2022> 5월 14일(토) 개최!,1986프로덕션,기타,-,기타,대상 제한 없음,22.3.3 ~ 22.5.13,기타
80445,국내최초 NFT연계형 패션디자인 공모전 2022 S/S,주식회사 어이사컴퍼니,중소기업,720만 원,디자인/순수미술/공예,대상 제한 없음,22.3.1 ~ 22.3.31,"실제상용화, 기타"
80450,제10회 한국창작문화예술대전,세계미술작가교류협회,비영리단체/협회/재단,-,디자인/순수미술/공예,대상 제한 없음,22.3.2 ~ 22.4.8,기타
80509,부산 기장 나만의 레시피 / 명소 / 맛집 공유 이벤트,한국수력원자력주식회사,공공기관/공기업,345만 원,사진/영상/UCC,대상 제한 없음,22.3.3 ~ 22.3.31,기타
80531,제60회 진해군항제 전국예술경연대회 전국학생미술공모전,진해예총 / 한국미술협회진해,비영리단체/협회/재단,-,예체능/패션,청소년,22.3.25 ~ 22.3.30,상장 수여
80532,진해군항제 제3회 창원 사랑 전국 사진 공모전,진해예총 / 한국사진작가협회 진해,비영리단체/협회/재단,-,사진/영상/UCC,"대학생, 직장인/일반인",22.3.10 ~ 22.3.31,상장 수여
80533,2022 LMO 안전관리 신규 캐릭터 네이밍 공모전,한국생명공학연구원 국가연구안전관리본부,비영리단체/협회/재단,80만 원,네이밍/슬로건,대상 제한 없음,22.3.3 ~ 22.3.18,기타
80534,수도권대기환경청 탄소중립 슬로건·손글씨 공모전,환경부 수도권대기환경청,공공기관/공기업,120만 원,네이밍/슬로건,대상 제한 없음,22.3.4 ~ 22.4.15,기타
80535,제11회 의암 류인석 전국 휘호대회,춘천문화원,비영리단체/협회/재단,531만 원,디자인/순수미술/공예,대상 제한 없음,22.4.1 ~ 22.4.8,기타
80536,"2022 제천한방바이오박람회 슬로건, 포스터 공모전",제천시 / 제천한방바이오진흥재단,공공기관/공기업,200만 원,디자인/순수미술/공예,대상 제한 없음,22.3.3 ~ 22.4.13,기타
80537,2022년도 제1회 고기아찌 영상광고 공모전,(주)한박스마일,중소기업,50만 원,광고/마케팅,대상 제한 없음,22.3.7 ~ 22.4.10,기타
80593,제4회 유니버설디자인 아이디어 대전,한국장애인개발원,공공기관/공기업,1950만 원,건축/건설/인테리어,대상 제한 없음,22.7.25 ~ 22.7.29,"해외연수, 전시기회"
80595,제4회 상생연대 대학 동아리 지원사업,재단법인 공공상생연대기금,비영리단체/협회/재단,5000만 원,기획/아이디어,대학생,22.4.1 ~ 22.4.15,기타
80610,2022 대구x청년 소셜리빙랩,대구경북연구원(창의도시재생지원센터),공공기관/공기업,1000만 원,기획/아이디어,"대학생, 직장인/일반인",22.2.28 ~ 22.3.25,"기타, 상장 수여"
80621,"인천공항과 함께 꿈, 그리고 세상을 잇는 제14회 전국장애인문학공모전",인천광역시중구장애인종합복지관,비영리단체/협회/재단,950만 원,문학/시나리오,대상 제한 없음,22.3.7 ~ 22.4.15,상장 수여
80626,마이지놈박스 스튜디오! 웹툰작가를 찾아라!!,(주)마이지놈박스스튜디오,중소기업,300만 원,캐릭터/만화/게임,"대학생, 직장인/일반인",22.3.4 ~ 22.3.25,"입사시 가산점, 기타"
