,idx,foundation,scholarship_type,근로장학,기숙사/주거지원,기타장학,대출지원,연수/연구장학,장학금,취업연계/산학장학,target,고등학생,기타/일반,대학생,대학원생,전문대생,중학생,청년,초등학생,선발 인원(명),선발인원규모,장학혜택(만원),장학혜택규모,memo
3154,5485,서울시,기타장학,0,0,1,0,0,0,0,"청년, 기타/일반",0,1,0,0,0,0,1,0,0,인원미정,0,금액미정,서울시에서 청년 임차인의 전월세계약 보증금 미반환 피해를 사전에 예방하기 위해 지원하는 사업입니다.
3155,5486,네이버커넥트재단,기타장학,0,0,1,0,0,0,0,기타/일반,0,1,0,0,0,0,0,0,250,대,0,금액미정,네이버커넥트재단에서 AI 관련 교육을 제공해 AI엔지니어로 성장하고 싶은 사람들을 지원하는 사업입니다.
3156,5487,한국수력원자력 새울원자력,장학금,0,0,0,0,0,1,0,"고등학생, 대학생",1,0,1,0,0,0,0,0,650,대,150,중,새울원자력본부에서 대학생과 고등학생 총 650명에게 최대 150만원을 지원하는 장학금입니다.
3157,5488,충남대학교 총동창회 장학재단,장학금,0,0,0,0,0,1,0,대학생,0,0,1,0,0,0,0,0,15,중,100,소,충남대학교 총동창회 장학재단에서 충남대학교 재학생으로서 대학발전을 위해 봉사정신이 투철하다고 인정되는 자와 경제적으로 극히 어려운 환경 속에서도 불우한 생활을 극복하면서 성실하게 면학에 전념하고 있는 학생에게 지급하는 장학금입니다.
3158,5489,굿패밀리복지재단,장학금,0,0,0,0,0,1,0,"고등학생, 대학생",1,0,1,0,0,0,0,0,40,중,100,소,"굿패밀리복지재단에서 고등학생, 대학생에게 최대 100만원을 지원하는 장학금입니다."
3159,5490,무지개장학재단,장학금,0,0,0,0,0,1,0,대학생,0,0,1,0,0,0,0,0,0,인원미정,250,대,"무지개장학재단에서 학업과 기술습득에 대한 욕구를 가지고 있으나, 경제적 사정으로 어려움에 처한 장애인 학생 및 장애인 부모의 자녀들에게 장학금을 지원하는 사업입니다."
3160,5491,국립국제교육원,연수/연구장학,0,0,0,0,1,0,0,대학생,0,0,1,0,0,0,0,0,9,소,0,금액미정,국립국제교육원에서 브라질 정부 학사과정프로그램을 통해 무상으로 브라질 대학에 진학할 수 있는 기회를 제공하는 사업입니다.
3161,5492,조병두장학회,장학금,0,0,0,0,0,1,0,대학생,0,0,1,0,0,0,0,0,9,소,0,금액미정,조병두장학회에서 성균관대 재학생들을 대상으로 등록금 전액을 지원하는 장학금입니다.
3162,5493,국립국제교육원,"연수/연구장학, 취업연계/산학장학",0,0,0,0,1,0,1,"대학생, 전문대생, 청년",0,0,1,0,1,0,1,0,130,대,0,금액미정,국립국제교육원에서 글로벌 감각을 갖춘 핵심인재를 양성하고자 어학연수와 다양한 미국 인턴십 기회를 제공하는 사업입니다.
3163,5494,충청남도인재육성재단,장학금,0,0,0,0,0,1,0,"대학생, 전문대생",0,0,1,0,1,0,0,0,80,대,100,소,충청남도인재육성재단에서 경제적 어려움을 겪는 소상공인의 자녀 중 자신의 비전을 위해 노력하는 학생을 지원하는 장학금입니다.
